Name,Price,Price witout Tax,Brand,Link
"Angry Goat Pepper Co. Dreams Of Calypso Hot Sauce, 5oz.",$9.00,$7.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Dreams-Of-Calypso-Hot-Sauce/
"Angry Goat Pepper Co. Hot Cock Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Hot-Cock-Hot-Sauce/
"Ass in the Tub Special Reserve Armageddon Hot Sauce, 5oz.",$11.00,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-special-reserve-armageddon-hot-sauce/
"Ass Reaper Hot Sauce with Skull Cap and Cape, 5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/ass-reaper-hot-sauce-skull-cap-cape/
"Blair's Golden Death Sauce with Chipotle, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-golden-death-sauce-with-chipotle/
"Blowout Habanero Serious Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/blowout-habanero-hot-sauce/
"Busha Browne's Pukka Hot Sauce, 5oz.",$7.50,$6.95,Busha Brownes,https://www.hotsauce.com/busha-brownes-pukka-hot-sauce/
"CaJohn's El Chupacabra Hot Sauce, 5oz.",$14.50,$12.95,CaJohns,https://www.hotsauce.com/cajohns-el-chupacabra-hot-sauce/
"CaJohn's Leviathan Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/cajohns-leviathan-hot-sauce/
"CaJohn's Rougaroux Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/cajohns-rougaroux-hot-sauce/
"Challenge Red Scotch Bonnet Pepper Plant - 350,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-red-scotch-bonnet-pepper-plant/
"Colon Cleaner (Professor Phardtpounders), 5.7oz.",$9.50,$8.95,HotSauce,https://www.hotsauce.com/Colon-Cleaner-Professor-Phardtpounders/
"Dave's Gourmet Scotch Bonnet Hot Sauce, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-scotch-bonnet-hot-sauce/
"Fat Cat Caribbean Curry Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-caribbean-curry-hot-sauce/
"Final Fear Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/final-fear-hot-sauce/
"Gator Hammock Hot Gator Sauce, 10oz.",$8.00,$7.49,Gator Hammock,https://www.hotsauce.com/gator-hammock-hot-gator-sauce/
"Gator Hammock Mini Hot Sauce, .5oz.",$3.00,$2.49,Gator Hammock,https://www.hotsauce.com/gator-hammock-mini-hot-sauce/
"Heartbreaking Dawns Papa Boi Caribbean Scotch Bonnet Hot Sauce, 5oz.",$7.50,$6.95,Heartbreaking Dawns,https://www.hotsauce.com/heartbreaking-dawns-papa-boi-caribbean-scotch-bonnet-sauce/
"Hellfire Hot Sauces Sauceress's Private Reserve, 5oz.",$11.00,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-hot-sauces-sauceresss-private-reserve/
"High River Sauces Cheeba Gold Barbados Style Scotch Bonnet Pepper Sauce, 5oz.",$7.50,$6.95,High River Sauces,https://www.hotsauce.com/high-river-sauces-cheeba-gold-barbados-style-scotch-bonnet-pepper-sauce/
"Hotsy Totsy XXX Rated Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/hotsy-totsy-xxx-rated-hot-sauce/
"Howler Monkey Amarillo Hot Sauce, 5oz.",$6.50,$5.95,Howler Monkey,https://www.hotsauce.com/howler-monkey-amarillo-hot-sauce/
"Howler Monkey Red Hot Sauce, 5oz.",$6.50,$5.95,Howler Monkey,https://www.hotsauce.com/howler-monkey-red-hot-sauce/
"Kiss of Fire the Ultimate XXX Hot Sauce, 5oz.",$9.00,$7.95,HotSauce,https://www.hotsauce.com/kiss-of-fire-the-ultimate-xxx-hot-sauce/
