Name,Price,Price witout Tax,Brand,Link
"6 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$100.00,$64.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-30ml/
"9 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$125.00,$79.95,HotSauce,https://www.hotsauce.com/9-Million-SHU-Pure-Capsicum-Oleoresin-Extract-1oz-Kit/
"Angry Goat Pepper Co. Demon Reaper Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Demon-Reaper-Hot-Sauce/
"Angry Goat Pepper Co. Sacrifice Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-sacrifice-hot-sauce/
"Artifact ACUTE Burn 1 Million Scoville Pepper Extract, 1.7oz.",$40.00,$34.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-acute-burn-1-million-scoville-pepper-extract/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$60.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Artifact SEVERE Burn 2 Million Scoville Pepper Extract, 1.7oz.",$50.00,$39.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-severe-burn-2-million-scoville-pepper-extract/
"Ass In Hell Hot Sauce, 5oz.",$10.50,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-hell-hot-sauce/
"Ass In The Tub Ghost Pepper Sauce, 5oz.",$9.50,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-ghost-pepper-sauce/
"Ass Reaper Hot Sauce with Skull Cap and Cape, 5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/ass-reaper-hot-sauce-skull-cap-cape/
"Burns & McCoy Devorandum Cherry & Trinidad Scorpion Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Devorandum-Cherry-Trinidad-Scorpion-Hot-Sauce/
"CaJohn's Cerberus Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/Cajohns-Cerberus-Hot-Sauce/
"CaJohn's El Chupacabra Hot Sauce, 5oz.",$14.50,$12.95,CaJohns,https://www.hotsauce.com/cajohns-el-chupacabra-hot-sauce/
"CaJohn's La Parca Reaper Hot Sauce, 5oz.",$10.50,$9.95,CaJohns,https://www.hotsauce.com/cajohns-la-parca-reaper-hot-sauce/
"CaJohn's La Segadora Reaper Hot Sauce, 5oz.",$11.50,$9.95,CaJohns,https://www.hotsauce.com/cajohns-la-segadora-reaper-hot-sauce/
"CaJohn's Leviathan Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/cajohns-leviathan-hot-sauce/
"CaJohn's Memento Mori Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/Cajohns-Memento-Mori-Hot-Sauce/
