Name,Price,Price witout Tax,Brand,Link
"CamelToe Chipotle Mango Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/cameltoe-chipotle-mango-hot-sauce/
"Caribbean Condiment Pirates Blend Hot Sauce, 10oz.",$8.50,$7.95,Half Moon Bay,https://www.hotsauce.com/caribbean-condiment-pirates-blend-hot-sauce/
"Cheap Thrill Garlic Habanero Hot Sauce, 5oz.",$3.50,$2.95,Cheap Thrill,https://www.hotsauce.com/cheap-thrill-garlic-habanero-hot-sauce/
"Cheap Thrill Habanero Hot Sauce, 5oz.",$3.50,$2.95,Cheap Thrill,https://www.hotsauce.com/cheap-thrill-habanero-hot-sauce/
"Cheech 3 Pack Hot Sauce Gift Set, 3/5oz.",$19.00,$16.95,Cheech Sauces,https://www.hotsauce.com/cheech-3-pack-hot-sauce-gift-set/
"Chile Dawg Hot Pepper Sauce, 5oz.",$5.50,$4.95,FireWorks,https://www.hotsauce.com/chile-dawg-hot-pepper-sauce/
"Chilehead's Garlic Habanero Hot Sauce, 5oz.",$6.50,$5.95,Hot Sauce Fanatics,https://www.hotsauce.com/chileheads-garlic-habanero-hot-sauce/
"Chilehead's Habanero Hot Sauce, 5oz.",$6.50,$5.95,Hot Sauce Fanatics,https://www.hotsauce.com/chileheads-habanero-hot-sauce/
"Cholula Sweet Habanero Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-sweet-habanero-hot-sauce/
"Cutino Chipotle Hot Sauce, 4oz.",$12.00,$10.95,Cutino,https://www.hotsauce.com/Cutino-Chipotle-Hot-Sauce/
"Cutino Habanero Hot Sauce, 4oz.",$12.00,$10.95,Cutino,https://www.hotsauce.com/Cutino-Habanero-Hot-Sauce/
"Cutino Jalapeno Hot Sauce, 4oz.",$12.00,$10.95,Cutino,https://www.hotsauce.com/Cutino-Jalapeno-Hot-Sauce/
"Cutino Miso Hot Sauce, 4oz.",$12.00,$10.95,Cutino,https://www.hotsauce.com/Cutino-Miso-Hot-Sauce/
"Dat'l Do It Devil Drops, 5oz.",$6.50,$5.95,Datl Do It,https://www.hotsauce.com/datl-do-it-devil-drops/
"Dave's Gourmet Crazy Caribbean Hot Sauce, 5oz.",$7.00,$5.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-crazy-caribbean-hot-sauce/
"Dave's Gourmet Creamy Ginger Citrus Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-ginger-citrus-hot-sauce/
"Dave's Gourmet Roasted Red Pepper & Chipotle, 5oz.",$7.00,$5.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-roasted-red-pepper-chipotle/
"Day Of The Dead w/ Skeleton Keychain, 5oz.",$8.50,$7.95,Captain Thoms,https://www.hotsauce.com/day-of-the-dead-skeleton-keychain/
"Daytona Bike Week Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/daytona-bike-week-hot-sauce-2014/
"El Yucateco Caribbean Hot Sauce, 4oz.",$4.50,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-caribbean-hot-sauce/
"Elijah's Xtreme Regret Scorpion Reaper Hot Sauce, 5oz.",$11.00,$9.95,ELijahs Xtreme,https://www.hotsauce.com/Elijahs-Xtreme-Regret-Scorpion-Reaper-Hot-Sauce/
"Fat Cat Mexican-Style Habanero Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-mexican-style-habanero-hot-sauce/
"Fear Hot Sauce w/ Bhut Jolokia Pepper, 5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/fear-hot-sauce-bhut-jolokia-pepper/
"Final Fear Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/final-fear-hot-sauce/
"Fuckin' Hot Sauces Gift Box, 4/5oz.",$31.50,$27.95,HotSauce,https://www.hotsauce.com/fuckin-hot-sauces-gift-box/
"Habanero Hot Sauce From Hell Beyond Hot, 5oz.",$6.50,$5.95,Habanero From Hell,https://www.hotsauce.com/habanero-hot-sauce-from-hell-beyond-hot/
"Habanero Hot Sauce From Hell Devil's Revenge, 5oz.",$9.50,$8.95,Habanero From Hell,https://www.hotsauce.com/habanero-hot-sauce-from-hell-devils-revenge/
"Heartbreaking Dawns (NEW) FERVOR Reaper Chile Hot Sauce, 5oz.",$11.00,$9.95,Heartbreaking Dawns,https://www.hotsauce.com/Heartbreaking-Dawns-Fervor-Reaper-Chile-Hot-Sauce/
"Heartbreaking Dawns 1498 Apricot & Scorpion Hot Sauce, 5oz.",$8.00,$7.49,Heartbreaking Dawns,https://www.hotsauce.com/heartbreaking-dawns-1498-apricot-scorpion-hot-sauce/
Name,Price,Price witout Tax,Brand,Link
